"N°","Date debut","Date fin","Emplacement","Campagne","Commune","Zone","Format","Regie","Latitude","Longitude"
"1","11-12-2024","21-12-2024","ABOBO ABOTE FACE HOPITAL GENERAL DIRECTION ","Concert SDM","Abobo","Grand Abidjan","12 M²","SELFIE MEDIA","5.411745","-3.9973082"
"2","11-12-2024","21-12-2024","ABOBO N’DOTRE CARREFOUR SAFIR FACE AGRIPAC","Concert SDM","Abobo","Grand Abidjan","12 M²","SELFIE MEDIA","5.4438314","-4.0570602"
"3","11-12-2024","21-12-2024","ABOBO N’DOTRE CARREFOUR SAFIR FACE ROND POINT N’DOTRE DIR PK 18","Concert SDM","Abobo","Grand Abidjan","12 M²","SELFIE MEDIA","5.443812","-4.055421"
"4","11-12-2024","21-12-2024","ADJAME RENAULT FACE FEU","Concert SDM","Adjame","Grand Abidjan","12 M²","SELFIE MEDIA","5.35593","-4.02095"
"5","11-12-2024","21-12-2024","ADJAME WILLIAM CIVILE CARREFOUR MOSQUEE SENS ALLER CRS","Concert SDM","Adjame","Grand Abidjan","12 M²","SELFIE MEDIA","5.363241","-4.01685"
"6","11-12-2024","21-12-2024","ADJAME RENAULT FACE UTB","Concert SDM","Adjame","Grand Abidjan","12 M²","SELFIE MEDIA","5.352506","-4.021581"
"7","11-12-2024","21-12-2024","ATT-06AS:Attecoube en face de l’église st Joseph pharmacie sebroco sens marché","Concert SDM","Attécoube","Grand Abidjan","12 M²","SELFIE MEDIA","5.3499541","-4.0345475"
"8","11-12-2024","21-12-2024","BINGERVILLE MARCHE DIRECTION MAIRIE LYCEE GARCON","Concert SDM","Bingerville","Grand Abidjan","12 M²","SELFIE MEDIA","5.3561991","-3.882299"
"9","11-12-2024","21-12-2024","COCOCY Montée Dokui face zoo Agban sens aller Dokui","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.3896235","-4.0055638"
"10","11-12-2024","21-12-2024","Riviera anono en face de la chefferie direction riviera 2","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.339928","-3.9750496"
"11","11-12-2024","21-12-2024","COCODY MARIE GUIRAUD FACE ST VIATEUR DIR APRES BARES BARRAGE ","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.3723237","-3.9588423"
"12","11-12-2024","21-12-2024","KOUMASSI GRANDE MOSQUEE DIR KAHIRA","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.2926535","-3.9665569"
